id,title,genres,popularity,release_date,budget,revenue,vote_average
40688,Meet the Deedles,Comedy-Family,6.674,1998/3/27,24000000,4562146,4.4
693,Meet the Fockers,Comedy-Romance,23.135,2004/12/22,80000000,516642939,6.2
1597,Meet the Parents,Comedy-Romance,22.818,2000/10/6,55000000,330444045,6.7
1267,Meet the Robinsons,Animation-Comedy-Family,39.226,2007/3/23,150000000,169332978,6.9
7278,Meet the Spartans,Comedy,25.615,2008/1/24,30000000,85897593,4
143830,Mega Man X: The Day of Sigma,Action-Animation-Science Fiction,2.561,2005/12/15,300000000,428000000,9
523931,Megalodon,Action-Science Fiction-Horror-TV Movie,65.111,2018/8/10,130178,5303,5.7
38055,Megamind,Animation-Action-Comedy-Family-Science Fiction,63.026,2010/10/28,130000000,321885765,6.9
30379,Megiddo: The Omega Code 2,Action-Thriller,5.129,2001/9/7,20000000,6000000,4.6
463238,Mehrunisa V Lub U,Comedy-Romance,0.709,2017/7/13,280000,1200000,10
62215,Melancholia,Drama-Science Fiction,15.702,2011/5/26,7400000,15946321,7.2
834646,Meldingen,Thriller,0.6,2021/4/4,1500,300,6
521945,Members Only,Comedy,0.6,2008/5/18,150,2900,0
77,Memento,Mystery-Thriller,23.76,2000/10/11,9000000,39723096,8.2
1904,Memoirs of a Geisha,Drama-Romance-History,24.374,2005/12/6,85000000,162242962,7.7
2687,Memoirs of an Invisible Man,Science Fiction-Comedy-Fantasy,6.598,1992/2/28,40000000,14358033,5.9
11423,Memories of Murder,Crime-Drama-Thriller,24.085,2003/5/2,2800000,26000000,8.1
515244,MemorГЎndum,Documentary-Drama,0.6,2017/9/14,1000,4500,10
10169,Men at Work,Comedy-Crime,8.472,1990/8/24,9000000,16247964,5.6
607,Men in Black,Action-Adventure-Comedy-Science Fiction,49.457,1997/7/2,90000000,589390539,7.2
41154,Men in Black 3,Action-Comedy-Science Fiction,85.64,2012/5/23,225000000,624026776,6.5
